ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
ThreadName, t_PayloadSize, t_NameLookup, t_AppConnect, t_Redirect, t_Connect, t_Pretransfer, t_Transfer, t_Total,t_OveralTotal, t_Timestamp
SafeThread-1, 17920, 0.09607400, 0.09607400, 0.09607400, 0.00699800, 0.09607400, 0.47344400, 0.48047900,0.53748600, 1461361907553
UnsafeThread-1, 22016, 0.00000000, 0.00000000, 0.00000000, 0.00725500, 0.00000000, 0.50856800, 0.51547100,0.57281900, 1461361949513
SafeThread-2, 18944, 0.09443000, 0.09443000, 0.09443000, 0.00669000, 0.09443000, 0.51854100, 0.52579200,0.58238600, 1461362036523
UnsafeThread-2, 23040, 0.00000000, 0.00000000, 0.00000000, 0.00712100, 0.00000000, 0.40913000, 0.41611800,0.47245100, 1461362356925
SafeThread-1, 18432, 0.09577400, 0.09577400, 0.09577400, 0.00697800, 0.09577400, 0.39183300, 0.39903500,0.45616100, 1461362363775
UnsafeThread-1, 22528, 0.00000000, 0.00000000, 0.00000000, 0.00696200, 0.00000000, 0.45609400, 0.46301700,0.52043100, 1461362469987
SafeThread-2, 19456, 0.09698400, 0.09698400, 0.09698400, 0.00736800, 0.09698400, 0.45555300, 0.46307000,0.52072100, 1461362557304
UnsafeThread-2, 23552, 0.00000000, 0.00000000, 0.00000000, 0.00725700, 0.00000000, 0.28643500, 0.29301000,0.34993700, 1461362706907
UnsafeThread-1, 23040, 0.00000000, 0.00000000, 0.00000000, 0.00695200, 0.00000000, 0.25324200, 0.26005000,0.31762000, 1461362787653
SafeThread-1, 18944, 0.09683600, 0.09683600, 0.09683600, 0.00679100, 0.09683600, 0.57280600, 0.58009300,0.63779800, 1461363001615
SafeThread-2, 19968, 0.09515300, 0.09515300, 0.09515300, 0.00663000, 0.09515300, 0.44390500, 0.45158000,0.50863100, 1461363065989
UnsafeThread-2, 24064, 0.00000000, 0.00000000, 0.00000000, 0.00739900, 0.00000000, 0.34821400, 0.35540100,0.41095900, 1461363117910
